Order #,Status,Vehicle,Customer,CDL,Terminal,Pickup City,Pickup State,Delivery City,Delivery State,Pickup Date,Loaded Miles,DH,Tow,Rate,Days,Return Cost,Backhaul,Notes
DA-426,PENDING,2024 Ford F-650 box truck,U-Haul,B,Chicago Terminal,Chicago,IL,Kansas City,MO,2026-09-02,491,38,Y,$795,1,,N,Fuel card provided
DA-489,AVAILABLE,2024 Peterbilt 579,Rush Truck Centers,A,Dallas Terminal,Dallas,TX,Tulsa,OK,2026-09-02,282,1,Y,$750,1,,N,DOT inspection on file
DA-443,AVAILABLE,2024 Mercedes Sprinter 2500,Hertz,NONE,Memphis Terminal,Memphis,TN,Minneapolis,MN,2026-09-02,833,44,N,"$2,320",1.5,,N,
DA-480,AVAILABLE,2023 Thor Four Winds 28A,General RV,NONE,Memphis Terminal,Memphis,TN,Dallas,TX,2026-09-02,500,19,N,"$1,120",1,221,N,Keys at guard shack
DA-428,AVAILABLE,2024 Freightliner Cascadia,Ryder,A,Dallas Terminal,Dallas,TX,Denver,CO,2026-09-03,788,12,Y,"$1,995",1.5,,N,
DA-422,AVAILABLE,2024 Hino L6 box truck,Enterprise Truck Rental,B,Denver Terminal,Denver,CO,Oklahoma City,OK,2026-09-03,600,111,Y,$995,1.5,,N,
DA-441,AVAILABLE,2023 Volvo VNL 860,Penske,A,Houston Terminal,Houston,TX,Dallas,TX,2026-09-03,268,108,N,$660,1,250,Y,
DA-436,PENDING,2024 International LT,Ryder,A,Memphis Terminal,Memphis,TN,Dallas,TX,2026-09-03,500,36,Y,"$1,375",1,,Y,
DA-434,AVAILABLE,2024 Hino L6 box truck,Enterprise Truck Rental,B,St. Louis Terminal,St. Louis,MO,Kansas City,MO,2026-09-03,283,22,Y,$675,1,,Y,Call dispatch 30 min out
DA-439,AVAILABLE,2024 Ford F-650 box truck,Enterprise Truck Rental,B,St. Louis Terminal,St. Louis,MO,Kansas City,MO,2026-09-03,283,46,N,$550,1,134,Y,
DA-481,AVAILABLE,2024 Hino L6 box truck,Enterprise Truck Rental,B,Chicago Terminal,Chicago,IL,Tulsa,OK,2026-09-04,712,5,N,"$1,445",1.5,,N,
DA-437,AVAILABLE,2023 Isuzu NPR-HD,Enterprise Truck Rental,B,Dallas Terminal,Dallas,TX,Denver,CO,2026-09-04,788,10,N,"$2,015",1.5,,Y,Fuel card provided
DA-470,PENDING,2024 International LT,Navistar Fleet,A,Houston Terminal,Houston,TX,Indianapolis,IN,2026-09-04,1030,38,Y,"$2,435",2,,N,Call dispatch 30 min out
DA-474,AVAILABLE,2024 Hino L6 box truck,Ryder,B,Memphis Terminal,Memphis,TN,St. Louis,MO,2026-09-04,286,47,Y,$795,1,,N,Fuel card provided
DA-447,AVAILABLE,2024 International LT,Navistar Fleet,A,Oklahoma City Terminal,Oklahoma City,OK,Albuquerque,NM,2026-09-04,613,5,N,"$1,740",1.5,245,N,No weekend delivery
DA-455,AVAILABLE,2023 Thor Four Winds 28A,General RV,NONE,Denver Terminal,Denver,CO,Albuquerque,NM,2026-09-05,398,4,N,$930,1,327,N,Fuel card provided
DA-469,AVAILABLE,2024 Ford Transit 350 cargo,Enterprise Truck Rental,NONE,Houston Terminal,Houston,TX,San Antonio,TX,2026-09-05,225,32,N,$485,1,299,N,DOT inspection on file
DA-460,AVAILABLE,2024 Ford Transit 350 cargo,Amazon DSP,NONE,Kansas City Terminal,Kansas City,MO,Tulsa,OK,2026-09-05,259,12,Y,$570,1,,N,No weekend delivery
DA-462,AVAILABLE,2024 Ford Transit 350 cargo,Amazon DSP,NONE,Kansas City Terminal,Kansas City,MO,Columbus,OH,2026-09-05,737,14,N,"$1,410",1.5,266,N,Fuel card provided
